,^NSEI,^BSESN,SBIN.NS,HDFCBANK.NS,ICICIBANK.NS,TATAMOTORS.NS,MARUTI.NS
,Close,Close,Close,Close,Close,Close,Close
2009-01-01,,,,,,,
2009-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-06,-0.0009249877745958202,0.0019513431996086201,-0.009428071097838497,0.01750620824661967,0.015344401970608157,0.0146188925253119,0.00259294380528452
2009-01-07,-0.022192354036900674,-0.023125543308132396,0.012117542376068286,-0.011315908655164186,-0.022086934661480775,-0.008129798137321842,0.004812093429237052
2009-01-08,-0.022192354036900674,-0.023125543308132396,0.012117542376068286,-0.011315908655164186,-0.022086934661480775,-0.008129798137321842,0.004812093429237052
2009-01-09,-0.016737760821702828,-0.01679295547315718,0.01725072673926409,-0.014029595796682651,-0.01397381635341347,0.008349303453224117,0.016802893334885972
2009-01-12,-0.004940788605858341,-0.006119774462723271,0.034677686054172874,-0.009477805160970593,-0.00011098747090072976,0.017008051155534016,0.01308386709595588
2009-01-13,-0.0015397814921150554,-0.004701127208392701,0.030107130824540494,-0.004509199216546022,0.009579456872655418,0.030486211002847725,0.01774038721700292
2009-01-14,-0.012334757145686959,-0.015515519824739716,0.02392308555703678,-0.0006781547580182821,-0.002461782635127637,0.02780995949094874,0.022388636871752073
2009-01-15,-0.0005364331843980049,-0.0037952142499850794,0.0380455374097816,0.017812482832008016,0.023009138556962554,0.040189197178079006,0.019127614986305844
2009-01-16,-0.011528447858246105,-0.013842958664352404,0.03317101165809389,0.01324832991387481,0.010914456353295542,0.035138793504449005,0.01895799071516742
2009-01-19,-0.013613752173147201,-0.014056701506657868,0.03829256315972278,0.011988525193282008,0.01980247860398062,0.04140909909105665,0.00993334201133618
2009-01-20,-0.007753643711706582,-0.00577199163055416,0.048178349819308394,0.022293867709669787,0.033238011390206434,0.05121131378152244,0.0015223454622856122
2009-01-21,0.0032055243870230347,0.006212331224563881,0.057810904522099214,0.030803948215589884,0.05671406475146812,0.06486647141723652,0.013560997013133102
2009-01-22,0.0022645375821553483,0.00489855310694113,0.05501715753864896,0.02668821770197945,0.04895320120679584,0.08197747911945703,0.02637161602686699
2009-01-23,0.006622625303152788,0.010216168313846787,0.0702807858718808,0.03723658210850307,0.06171509623066547,0.07662731976371973,0.029077988516059538
2009-01-26,0.006622625303152788,0.010216168313846787,0.0702807858718808,0.03723658210850307,0.06171509623066547,0.07662731976371973,0.029077988516059538
2009-01-27,-0.004730367975468223,-0.0022196538899574864,0.05582827581880068,0.030803948215589884,0.04627486474236001,0.06379652564804372,0.014860452592859723
2009-01-28,-0.014000014253624297,-0.011470636252351934,0.048313132303794415,0.02254971486280688,0.02349888429144764,0.04916038162205909,0.02563435357780333
2009-01-29,-0.017002328771184835,-0.012234478569254156,0.05229197012147324,0.01829946043261129,0.021828598465744548,0.03710613940921434,0.010671023079926428
2009-01-30,-0.02295117107671126,-0.018949772423695777,0.03695766952882777,0.01752427564072612,0.016866869219677984,0.04240944048130758,-0.003620016968413381
2009-02-02,-0.03573315676297906,-0.03184201765790817,0.053339859180686844,0.031085095509593156,-0.009060639534259174,0.055817544903734514,-0.004383327487467771
2009-02-03,-0.03780503025844428,-0.034865007561460125,0.05440619227406943,0.02754077183638308,-0.014980036408967981,0.08122539008985571,0.0053212059549476625
2009-02-04,-0.040090143742040375,-0.03677405955785555,0.05303585314544549,0.032155828382469075,-0.013018853559723098,0.07564212907320005,0.015582713563070456
2009-02-05,-0.03734374482294189,-0.032729790227779894,0.05365938879018831,0.03275842474796124,-0.013744914212509821,0.08652329055012084,0.0014732523692879591
2009-02-06,-0.04481911477415471,-0.04034152573895197,0.04647544166165307,0.027466586738835144,-0.027579232445781088,0.07063438905218035,0.001848516826986676
2009-02-09,-0.035934349799458566,-0.03034931898281517,0.03795834034127103,0.019746458085124104,-0.01061884091271148,0.06084024227913877,0.011796142363463
2009-02-10,-0.03427176797925006,-0.02814526918386485,0.04273136424601084,0.009905280822801591,-0.010346705725977548,0.068941878192388,0.019107777409842253
2009-02-11,-0.03527287780351932,-0.02914633133407149,0.041238994628369184,0.005476069407600082,-0.005330201408263975,0.07404662621591195,0.031951530440250515
2009-02-12,-0.0390136863583607,-0.03448100117105806,0.041325257186335396,0.005244134282859459,-0.01607135452021143,0.07355685155935308,0.022080442390164663
2009-02-13,-0.032702219958720725,-0.02858538107543101,0.0517149603264954,0.00890059567848549,-0.005943694875264249,0.0700297107409065,0.030101379647511792
2009-02-16,-0.04418661500522969,-0.04017707102947733,0.03483570717001975,-0.0019358364038532996,-0.02602731020666112,0.07367917794415704,0.02653048811971487
2009-02-17,-0.034931704800881036,-0.030345622052041218,0.046183195244278163,0.010568553902508297,-0.0064757043369052525,0.08728609281845581,0.01591474024684468
2009-02-18,-0.035610781847854746,-0.029613576893905143,0.05475634050897652,0.012048586611698543,0.007827438734266204,0.08097511563984648,0.02373256654521918
2009-02-19,-0.03719197799700602,-0.03062699682304942,0.058575527338882306,0.008963097816148874,0.015123494717229994,0.07786450648969503,0.031687904973043544
2009-02-20,-0.03080958236372163,-0.023193623536788756,0.06322036680344123,0.015835366818845276,0.03965632586778496,0.07985228312561583,0.030472183358660886
2009-02-23,-0.03080958236372163,-0.023193623536788756,0.06322036680344123,0.015835366818845276,0.03965632586778496,0.07985228312561583,0.030472183358660886
