,^NSEI,^BSESN,SBIN.NS,HDFCBANK.NS,ICICIBANK.NS,TATAMOTORS.NS,MARUTI.NS
,Close,Close,Close,Close,Close,Close,Close
2009-01-01,3046.75,9958.219727,46.174397,174.26263400000002,42.21246,25.930439,507.048584
2009-01-02,3046.75,9958.219727,46.174397,174.26263400000002,42.21246,25.930439,507.048584
2009-01-05,3121.449951,10275.599609,47.178065999999994,179.143982,44.778809,26.283934000000002,518.83075
2009-01-06,3112.800049,10335.929688,45.862365999999994,188.803818,46.888302,27.462311,522.882385
2009-01-07,2920.399902,9586.879883,42.991741,173.16451999999998,41.907894,25.650639,526.3750610000001
2009-01-08,2920.399902,9586.879883,42.991741,173.16451999999998,41.907894,25.650639,526.3750610000001
2009-01-09,2873.0,9406.469727,42.334759000000005,174.580017,40.900196,24.413376,545.654724
2009-01-12,2773.100098,9110.049805,40.178321999999994,172.212265,39.234103999999995,23.787374,539.600647
2009-01-13,2744.949951,9071.360352,40.733028000000004,169.66433700000002,38.109936,22.84473,547.1915280000001
2009-01-14,2835.300049,9370.490234,41.495765999999996,167.725525,39.511776,23.028883,554.875427
2009-01-15,2736.699951,9046.740234,39.774421999999994,158.67481999999998,36.605042,22.189329,549.473511
2009-01-16,2828.449951,9323.589844,40.36034,160.862411,37.957611,22.528084,549.19397
2009-01-19,2846.199951,9329.570313,39.744957,161.471527,36.958881,22.108271,534.524597
2009-01-20,2796.600098,9100.549805,38.583534,156.555847,35.498816999999995,21.467607,521.205688
2009-01-21,2706.149902,8779.169922,37.484516,152.609528,33.084709000000004,20.605946,502.717712
2009-01-22,2713.800049,8813.839844,37.800003000000004,154.50550800000002,33.864044,19.574870999999998,483.76388499999996
2009-01-23,2678.550049,8674.349609,36.108139,149.69271899999998,32.592040999999995,19.891592000000003,479.85205099999996
2009-01-26,2678.550049,8674.349609,36.108139,149.69271899999998,32.592040999999995,19.891592000000003,479.85205099999996
2009-01-27,2771.350098,9004.080078,37.708134,152.609528,34.137238,20.672194,500.761749
2009-01-28,2849.5,9257.469727,38.567935999999996,156.43573,36.5513,21.6001,484.83505199999996
2009-01-29,2823.949951,9236.280273,38.110306,158.443176,36.734913,22.395514000000002,507.09518399999996
2009-01-30,2874.800049,9424.240234,39.904441999999996,158.812073,37.285809,22.042023,529.308716
2009-02-02,2766.649902,9066.700195,37.990688,152.480865,34.495548,21.172992999999998,528.098022
2009-02-03,2783.899902,9149.299805,37.86935,154.11084,35.113597999999996,19.619087,543.698853
2009-02-04,2803.050049,9201.849609,38.025352000000005,151.991852,34.907612,19.950470000000003,560.696655
2009-02-05,2780.050049,9090.879883,37.954288,151.717331,34.98373,19.309732,537.458557
2009-02-06,2843.100098,9300.860352,38.781151,154.145142,36.466209,20.252453,538.063965
2009-02-09,2919.899902,9583.889648,39.784828000000005,157.756866,38.369667,20.856348,554.363342
2009-02-10,2934.5,9647.469727,40.358608000000004,162.48384099999998,38.401005,20.355547,566.657593
2009-02-11,2925.699951,9618.540039,40.178321999999994,160.33909599999998,38.983292,20.046192,588.917725
2009-02-12,2893.050049,9465.830078,40.188721,160.22757,37.747139000000004,20.075668,571.7336429999999
2009-02-13,2948.350098,9634.740234,41.461094,161.994843,38.911609999999996,20.289225,585.65802
2009-02-16,2848.5,9305.450195,39.413868,156.813187,36.636383,20.068302,579.417542
2009-02-17,2770.5,9035.0,38.094704,151.039597,34.54929,19.265594,561.255432
2009-02-18,2776.149902,9015.179688,37.127421999999996,150.370453,33.098156,19.633823,574.574402
2009-02-19,2789.350098,9042.629883,36.70446,151.768814,32.381569,19.8179,588.4521480000001
2009-02-20,2736.449951,8843.209961,36.196548,148.67186,30.083923,19.700070999999998,586.309875
2009-02-23,2736.449951,8843.209961,36.196548,148.67186,30.083923,19.700070999999998,586.309875
2009-02-24,2733.899902,8822.05957,35.633179,146.6129,30.09289,19.457041,597.2071530000001
2009-02-25,2762.5,8902.55957,35.938263,148.294373,30.509439,20.635424,618.3497309999999
2009-02-26,2785.649902,8954.860352,35.468494,150.095932,29.098596999999998,22.086163,643.3575440000001
2009-02-27,2763.649902,8891.610352,35.546496999999995,152.618088,29.340494,21.990442,630.8302610000001
2009-03-02,2674.600098,8607.080078,34.478683000000004,145.103027,27.266815,21.438129,628.3155519999999
2009-03-03,2622.399902,8427.290039,33.780094,142.666641,26.478503999999997,20.893116,625.195557
2009-03-04,2645.199951,8446.490234,33.176846000000005,143.95349099999999,25.520069,21.077269,636.4187009999999
2009-03-05,2576.699951,8197.919922,32.393318,137.502136,24.189873000000002,20.524889,622.401306
2009-03-06,2620.149902,8325.820313,32.627338,137.570786,24.109274,20.421793,605.0775150000001
2009-03-09,2573.149902,8160.399901999999,31.039479999999998,137.04747,23.553895999999998,20.127256,607.173096
2009-03-10,2573.149902,8160.399901999999,31.039479999999998,137.04747,23.553895999999998,20.127256,607.173096
