Date,Open,High,Low,Close,Volume
2009-01-02,175.00899158644734,177.06791575190576,172.12648969066566,174.26263400000002,5234260.0
2009-01-05,176.72473448389454,180.07048887291774,176.39015938814703,179.143982,5029540.0
2009-01-06,179.15258693312643,190.96569719052852,177.41107676294666,188.803818,9144965.0
2009-01-07,191.3088274072184,193.06749857363664,170.89111141520814,173.16451999999998,18891190.0
2009-01-09,171.5774122850123,181.3573196379356,167.28797697788698,174.580017,10706785.0
2009-01-12,173.6363481844409,175.35212242684963,169.86164999846443,172.212265,9028285.0
2009-01-13,171.57742182176426,173.63634573630276,167.30514744995077,169.66433700000002,6264055.0
2009-01-14,179.2469562947462,179.2469562947462,165.89823381217738,167.725525,14162585.0
2009-01-15,164.71433978697888,164.71433978697888,155.6293179146521,158.67481999999998,14623745.0
2009-01-16,160.93963027823912,162.06346069957308,158.22870352358987,160.862411,3904400.0
2009-01-19,162.82699046959723,163.77065865317277,159.8243853187238,161.471527,5074225.0
2009-01-20,158.70913968685574,158.70913968685574,154.76285322839965,156.555847,4005555.0
2009-01-21,155.58639780918506,155.58639780918506,150.98812231709553,152.609528,9880200.0
2009-01-22,154.4197141226081,157.33652579760022,151.33131469283214,154.50550800000002,8149800.0
2009-01-23,153.15000303112416,156.35849294907408,148.43162415033956,149.69271899999998,7964850.0
2009-01-27,153.9049331690807,155.09739532267525,150.98812231709553,152.609528,6137465.0
2009-01-28,154.07654029150063,157.1306168892746,153.62186095102246,156.43573,6587295.0
2009-01-29,158.69195812076117,160.8624117051237,156.13545790096424,158.443176,11718490.0
2009-01-30,153.1157028920172,160.4249052135076,153.1157028920172,158.812073,3742255.0
2009-02-02,157.85123422270635,157.93702808428068,150.473399649757,152.480865,6539860.0
2009-02-03,153.62185120907222,156.10114496368865,152.70390599367573,154.11084,5740100.0
2009-02-04,156.13544830541792,158.28874058327156,151.35701127239972,151.991852,18996780.0
2009-02-05,153.5532084419418,154.36819857147566,151.00528302775024,151.717331,5386505.0
2009-02-06,153.21863512133405,155.24324945480157,152.086218189105,154.145142,5854915.0
2009-02-09,155.792310446101,158.19438415385932,154.93442330238526,157.756866,5145280.0
2009-02-10,158.7520391605795,164.39693901600234,158.0828879593595,162.48384099999998,4160995.0
2009-02-11,159.052265332686,161.7889269342813,155.62071688651537,160.33909599999998,4660695.0
2009-02-12,160.45919006998042,161.45434249344066,158.63190006469281,160.22757,3570160.0
2009-02-13,161.2827949024753,163.6677204798481,160.7680574309952,161.994843,3803950.0
2009-02-16,161.28278508112862,161.28278508112862,155.7923124384557,156.813187,6998840.0
2009-02-17,155.6207105577862,156.89039286799257,149.31524826536003,151.039597,8591335.0
2009-02-18,150.1302454651429,152.36075711651915,148.4058966495217,150.370453,3915245.0
2009-02-19,151.67444555880763,153.08137957928952,150.0187165522642,151.768814,4480395.0
2009-02-20,150.30184059480032,150.7994169055389,146.45850922386805,148.67186,4998725.0
2009-02-24,146.3555441650712,147.5565809557606,143.26714546286058,146.6129,3842605.0
2009-02-25,148.39731516814297,149.50399645021113,147.59089867678173,148.294373,5463155.0
2009-02-26,148.63751364527747,151.47713022160272,144.29660666458594,150.095932,16218810.0
2009-02-27,149.44390876002916,154.05934498387998,144.63974941173146,152.618088,6775970.0
